t0,interval,date,x,y,z,MEGNO (avg),vx,vy,vz,MEGNO (non-avg)
2451544.50000000000000000000,150336000.00000000000000000000, 2004 10  6    0H  0M  0.000000S,-17544.09308467017399379984,19886.16539848455431638286,-1600.51312748068289693038,1.93532497580628048972,2.73083801530465741791,2.50356676076998896363,1.12599045278302289930,1.98130301159212063311
2451544.50000000000000000000,152928000.00000000000000000000, 2004 11  5    0H  0M  0.000000S,14768.57063575830943591427,20827.95758668306370964274,7351.86746463240797311300,1.95507460638965779864,3.06618516483270520112,-2.32597090403485973198,0.42212251939718448135,1.98071515725490687743
2451544.50000000000000000000,155520000.00000000000000000000, 2004 12  5    0H  0M  0.000000S,23619.57373156094763544388,-11379.75529638848456670530,4106.56049421745137806283,1.97818279943263952703,-1.48978584965623905845,-3.43973510587087494272,-0.98758632490598918796,1.98049066561455333613
2451544.50000000000000000000,158112000.00000000000000000000, 2005  1  4    0H  0M  0.000000S,-5235.06793135852331033675,-25299.66799943794467253610,-5983.80274105271382723004,1.99642763963563241170,-3.68582252106765473343,0.94164867283738995507,-0.75829337178037592437,1.98058726812960861352
2451544.50000000000000000000,160704000.00000000000000000000, 2005  2  3    0H  0M  0.000000S,-25795.26355063114897347987,1252.02372760080606894917,-6130.03606376565858226968,2.00457256290584284741,0.00561735254599482481,3.80499693194704002863,0.73630871155367283443,1.98090377015490948232
2451544.50000000000000000000,163296000.00000000000000000000, 2005  3  5    0H  0M  0.000000S,-5216.18303039259808429051,25754.68812616922150482424,3944.49928553812651443877,2.00362708118015575565,3.69007246222759821563,0.59423379301405887531,1.00897192972054483562,1.98130038997630464337
2451544.50000000000000000000,165888000.00000000000000000000, 2005  4  4    0H  0M  0.000000S,23744.48959545164325390942,9237.42514111361742834561,7508.55228134995104483096,1.99603576785057912346,1.50161623424700918505,-3.54802292340822900130,-0.39517835888636965169,1.98162418310900911855
2451544.50000000000000000000,168480000.00000000000000000000, 2005  5  4    0H  0M  0.000000S,14926.91137455512580345385,-21886.31548166448919801041,-1394.76713392154215398477,1.98122516842845186602,-3.09494722709520297954,-2.03425035201765735948,-1.14887455041205455153,1.98173569627190704345
2451544.50000000000000000000,171072000.00000000000000000000, 2005  6  3    0H  0M  0.000000S,-17757.59175427310401573777,-18009.22671836431254632771,-7991.61510912521771388128,1.95813949663113362476,-2.76477215162017042616,2.71988051116200324486,0.00776551072472486670,1.98153312448985441385
2451544.50000000000000000000,173664000.00000000000000000000, 2005  7  3    0H  0M  0.000000S,-22159.93117161369445966557,14572.91904422394509310834,-1303.17138776810134004336,1.93043985415338603673,1.98144502945997569299,3.12274216478974908640,1.15328534669158733195,1.98097025885090549657
2451544.50000000000000000000,176256000.00000000000000000000, 2005  8  2    0H  0M  0.000000S,8791.28529041515866992995,23902.71625158739334437996,7581.33745581993935047649,1.90611299675706780121,3.57377125730594702446,-1.43722608509866844884,0.38661700414769484269,1.98006497595022334934
2451544.50000000000000000000,178848000.00000000000000000000, 2005  9  1    0H  0M  0.000000S,25828.90676551626893342473,-4739.79148251380775036523,3922.80250422070457716472,1.89145956359205724695,-0.52698904113520095294,-3.69898888743980824856,-1.02499559079076507651,1.97889621210623212200
