t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs),M_dot,Omega_dot,omega_dot
2451544.50000000000000000000,1557792000.00000000000000000000,2000-01-01 00:00:00.000,2049-05-13 00:00:00.000,26562.72905192672624252737,0.01111543124415029921,0.41814834888183938233,-1.41573976327581352308,-81.11591332455438418947,-0.66115394518739700747,-37.88133066766161505257,0.95887589624346503125,54.93954193157477305931,0.00014583435639611779,-0.00000001287521809606,0.00000004070358295179
2451544.50000000000000000000,1560384000.00000000000000000000,2000-01-01 00:00:00.000,2049-06-12 00:00:00.000,26562.32689145495896809734,0.01100902287656940065,0.41764853662527889888,-1.44895353097276236021,-83.01892203531750169532,-0.60196611203273875379,-34.49011762937521297090,1.99524022569111769698,114.31884404683087552712,0.00014583766836323933,-0.00000001287866365542,0.00000004066586145604
2451544.50000000000000000000,1562976000.00000000000000000000,2000-01-01 00:00:00.000,2049-07-12 00:00:00.000,26563.21627494106360245496,0.01090405360632910013,0.41697984551288358457,-1.48216163744891860077,-84.92160638202230416027,-0.54527864037152384835,-31.24216475192014286222,3.02939405520924198711,173.57149384551107118568,0.00014583034406973966,-0.00000001288098894996,0.00000004060808850923
2451544.50000000000000000000,1565568000.00000000000000000000,2000-01-01 00:00:00.000,2049-08-11 00:00:00.000,26563.63859192179734236561,0.01086964835622360008,0.41616810724029917878,-1.51577097610710564979,-86.84727963936229855335,-0.49383463315483999700,-28.29464025716360708884,-2.21852392463981251680,-127.11205763066075746792,0.00014582686639937390,-0.00000001288491578998,0.00000004054154904049
2451544.50000000000000000000,1568160000.00000000000000000000,2000-01-01 00:00:00.000,2049-09-10 00:00:00.000,26563.12311237342873937450,0.01089076764075300012,0.41545946932178728916,-1.55019307095350677983,-88.81952039606009918771,-0.43475604347586122023,-24.90968640897297703418,-1.19481362030493998283,-68.45777774821949890338,0.00014583111125783426,-0.00000001288979171346,0.00000004048823104620
2451544.50000000000000000000,1570752000.00000000000000000000,2000-01-01 00:00:00.000,2049-10-10 00:00:00.000,26563.79377893268974730745,0.01092284502158170044,0.41511242017792937542,-1.58475649095215276319,-90.79985848752058075206,-0.37273788730822271509,-21.35630780738405931629,-0.17882197053381118645,-10.24574419580015316456,0.00014582558850947757,-0.00000001289070016454,0.00000004045738737174
2451544.50000000000000000000,1573344000.00000000000000000000,2000-01-01 00:00:00.000,2049-11-09 00:00:00.000,26563.81431078501555020921,0.01089255304058779975,0.41485574912581618667,-1.61854609103754065735,-92.73585996384821328320,-0.30482138411921949617,-17.46497881536737750707,0.82570013357144145250,47.30913279703193552450,0.00014582541944101277,-0.00000001289210777341,0.00000004043713324371
2451544.50000000000000000000,1575936000.00000000000000000000,2000-01-01 00:00:00.000,2049-12-09 00:00:00.000,26563.45061235728644533083,0.01081696600175540042,0.41434349177572687983,-1.65183309494184915600,-94.64306480020056255853,-0.24194322989693770043,-13.86232595485793162027,1.83030448569153714189,104.86872225398784053141,0.00014582841434506835,-0.00000001289555934824,0.00000004039890508086
2451544.50000000000000000000,1578528000.00000000000000000000,2000-01-01 00:00:00.000,2050-01-08 00:00:00.000,26564.45802985351838287897,0.01071298342761710029,0.41357688805113790309,-1.68530756716588903110,-96.56101078006597049352,-0.18119717906848101241,-10.38183362030018486166,2.83327271049421636206,162.33456852090975530700,0.00014582011893566935,-0.00000001289821908377,0.00000004033387010602
2451544.50000000000000000000,1581120000.00000000000000000000,2000-01-01 00:00:00.000,2050-02-07 00:00:00.000,26564.73161085542960790917,0.01066867513289520078,0.41276762092854418773,-1.71954098208830385985,-98.52244097344048157083,-0.12766390933287388720,-7.31460320091448146229,-2.44278137425620256451,-139.96106301804761073981,0.00014581786631485754,-0.00000001290232977584,0.00000004026950966969
2451544.50000000000000000000,1583712000.00000000000000000000,2000-01-01 00:00:00.000,2050-03-09 00:00:00.000,26564.43316124595730798319,0.01068435929008969970,0.41225096259666621501,-1.75447343491533369608,-100.52392308846914659171,-0.06889822157109160017,-3.94757731198076156076,-1.44427820292995923168,-82.75104547062571214155,0.00014582032370255476,-0.00000001290573804216,0.00000004023095939551
2451544.50000000000000000000,1586304000.00000000000000000000,2000-01-01 00:00:00.000,2050-04-08 00:00:00.000,26565.19034455253495252691,0.01071922012852800053,0.41208107468011490049,-1.78908234796074583350,-102.50686773950651797804,-0.00778717824561850000,-0.44617244779002868116,-0.45259305883643680124,-25.93167210824397983515,0.00014581408930746878,-0.00000001290549280171,0.00000004021387119740
2451544.50000000000000000000,1588896000.00000000000000000000,2000-01-01 00:00:00.000,2050-05-08 00:00:00.000,26564.99457682966749416664,0.01069508476395750023,0.41183644556856008334,-1.82279572648898557929,-104.43850204230163569719,0.05982281508802540088,3.42759482313540297937,0.52792480923424256467,30.24786346937121450651,0.00014581570115109637,-0.00000001290717530284,0.00000004019598877647
2451544.50000000000000000000,1591488000.00000000000000000000,2000-01-01 00:00:00.000,2050-06-07 00:00:00.000,26564.49759043438461958431,0.01062105088107490047,0.41126635257585908434,-1.85628989119691034659,-106.35757631838174575023,0.12349795363699310469,7.07591152190202432593,1.50891316401412867165,86.45435594974094328791,0.00014581979319678949,-0.00000001291114978254,0.00000004015463649762
2451544.50000000000000000000,1594080000.00000000000000000000,2000-01-01 00:00:00.000,2050-07-07 00:00:00.000,26565.33774598708623670973,0.01051895847423580006,0.41053574277685678240,-1.89025179568635204319,-108.30345010985315923335,0.18674961762719330394,10.69996491572010377524,2.48805412508508316805,142.55500056748988413347,0.00014581287570482240,-0.00000001291384663234,0.00000004009425431967
2451544.50000000000000000000,1596672000.00000000000000000000,2000-01-01 00:00:00.000,2050-08-06 00:00:00.000,26565.45591137817973503843,0.01045342353771580059,0.40989959709056400516,-1.92490240431149794986,-110.28878374163363673688,0.24198458111108400725,13.86469520490625484399,-2.80991444619847596798,-160.99623856001267085958,0.00014581190282392882,-0.00000001291719323375,0.00000004004499144321
2451544.50000000000000000000,1599264000.00000000000000000000,2000-01-01 00:00:00.000,2050-09-05 00:00:00.000,26565.16830237999602104537,0.01046219814953209919,0.40955861484015748664,-1.95993803729151361281,-112.29617764395787560261,0.30058174639082979596,17.22206546686621564390,-1.83048814230880840803,-104.87924500303714125948,0.00014581427078909609,-0.00000001291957610801,0.00000004002040941310
2451544.50000000000000000000,1601856000.00000000000000000000,2000-01-01 00:00:00.000,2050-10-05 00:00:00.000,26566.01248928509448887780,0.01049460731077679967,0.40945195193601158223,-1.99455866601668430071,-114.27979355399955352368,0.36058200728946959712,20.65982718604209722457,-0.85557186081711555925,-49.02065669497501687601,0.00014580732054467408,-0.00000001291882676189,0.00000004000791411570
