t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs)
2451544.50000000000000000000,57024000.00000000000000000000,2000-01-01 00:00:00.000,2001-10-22 00:00:00.000,26554.32826544468480278738,0.00214191198604770858,1.60577414827241660156,0.01545048188664065181,0.88524740354783493235,-0.84049223832831077008,-48.15665796971592982345,-0.62230762559977759185,-35.65560050567464145388
2451544.50000000000000000000,59616000.00000000000000000000,2000-01-01 00:00:00.000,2001-11-21 00:00:00.000,26558.72776170678844209760,0.00234454707323418802,1.60531276363880515134,0.01608753678353349106,0.92174796045793649935,-0.86677411321237163300,-49.66249847826350105606,0.50731681240910631026,29.06711222707190245274
2451544.50000000000000000000,62208000.00000000000000000000,2000-01-01 00:00:00.000,2001-12-21 00:00:00.000,26556.88940280437600449659,0.00236601750424582976,1.60508125794838707456,0.01657084052677932490,0.94943922516879708517,-0.87651672991092022258,-50.22070929650401183153,1.62183916855012544289,92.92453940692874425622
2451544.50000000000000000000,64800000.00000000000000000000,2000-01-01 00:00:00.000,2002-01-20 00:00:00.000,26554.58167697837416199036,0.00257485465905227121,1.60528507147469201577,0.01706915863466418673,0.97799074960554455149,-0.86861046577623346465,-49.76771372987081321071,2.71885998310408982803,155.77920211887465029577
2451544.50000000000000000000,67392000.00000000000000000000,2000-01-01 00:00:00.000,2002-02-19 00:00:00.000,26559.16649395393687882461,0.00249310165937323847,1.60567598086104856847,0.01772849490489218638,1.01576793516950614205,-0.85044369650992424070,-48.72683452352331556767,-2.47804892114303365602,-141.98174460844276723037
2451544.50000000000000000000,69984000.00000000000000000000,2000-01-01 00:00:00.000,2002-03-21 00:00:00.000,26556.15484595604357309639,0.00258755670406809329,1.60582565657546183502,0.01851901871357351792,1.06106161301155377252,-0.80941780472629376586,-46.37622407356084863750,-1.41530659933603697453,-81.09109485896792079984
2451544.50000000000000000000,72576000.00000000000000000000,2000-01-01 00:00:00.000,2002-04-20 00:00:00.000,26555.20115574136798386462,0.00252396591706539409,1.60559041558251225368,0.01928428429399317232,1.10490810097622915720,-0.82718259617274347839,-47.39407164737252742270,-0.29428964367583765327,-16.86155453703435469492
2451544.50000000000000000000,75168000.00000000000000000000,2000-01-01 00:00:00.000,2002-05-20 00:00:00.000,26559.45089679586817510426,0.00270759568309969197,1.60519142992538843551,0.01991258674640002113,1.14090717975686084529,-0.81339831641910342874,-46.60429059386132166765,0.79527684278621113556,45.56600663613898660742
2451544.50000000000000000000,77760000.00000000000000000000,2000-01-01 00:00:00.000,2002-06-19 00:00:00.000,26555.37137424033426214010,0.00274060943506157116,1.60492159907981046807,0.02042776942324519771,1.17042497281834179113,-0.84650995321378563752,-48.50144763496669497727,1.93143234646047323722,110.66292186723450186037
2451544.50000000000000000000,80352000.00000000000000000000,2000-01-01 00:00:00.000,2002-07-19 00:00:00.000,26556.05855101130146067590,0.00285239553207223369,1.60496321839229705297,0.02091895496264402354,1.19856783118375131991,-0.79496004758318461469,-45.54785560803557586951,2.98186517291462083179,170.84828948505520429535
2451544.50000000000000000000,82944000.00000000000000000000,2000-01-01 00:00:00.000,2002-08-18 00:00:00.000,26559.38136209840013179928,0.00281751694282783788,1.60530445300178081780,0.02149343959129463091,1.23148337580057143370,-0.79932243618780418615,-45.79780206367624373343,-2.19648809039231851514,-125.84949733022951079420
2451544.50000000000000000000,85536000.00000000000000000000,2000-01-01 00:00:00.000,2002-09-17 00:00:00.000,26554.97823466963382088579,0.00283925118261633405,1.60563146965946201838,0.02222332508058688996,1.27330273386485881559,-0.73316370603532521333,-42.00718604799429556351,-1.16454252193417784333,-66.72337157034948518231
